## Initial set of words come from Mathematica with usage frequency.
## These have been augmented with Linux dictionary words: /usr/share/dict/words.
## The additional words have been filtered removing: words that end in "s";
## words with accents; and words with a capital letter.
## These additional words have been assigned the frequency of 1.0e-9 (lower than any of the Mathematica word frequencies).
word,freq
owner,5.4656147752942266e-5
bound,5.4471291155708925e-5
visit,5.3298837566573244e-5
agree,5.3002920436857935e-5
limit,5.293190175131038e-5
avoid,5.29267340088735e-5
press,5.2392194176033e-5
broad,5.196796293024753e-5
shape,5.180161483220142e-5
yield,5.13507813835811e-5
grant,5.1326492241178404e-5
prove,5.081742669303234e-5
motor,4.966366096568548e-5
stone,4.96127328162584e-5
index,4.945594418649929e-5
proof,4.901460189231799e-5
depth,4.838862489320095e-5
happy,4.831848615447145e-5
check,4.820182468268781e-5
focus,4.797239178946105e-5
older,4.770472851952546e-5
fresh,4.725596417574484e-5
aware,4.707405161050687e-5
plate,4.663996275170775e-5
horse,4.583208824633993e-5
enemy,4.5764753992991175e-5
waste,4.5604001814584343e-5
solid,4.554780518816026e-5
